nda_number,product_number,nadac_NDC
4,4,
159,1,
552,1,
552,2,
552,3,
552,4,
552,5,
552,7,
552,8,
552,9,
552,10,
552,11,
552,12,
552,13,
734,1,
734,2,
734,3,
793,2,
793,3,
793,4,
793,5,
1104,1,
1546,1,
2139,3,
2282,1,
2386,2,
2386,3,
2918,1,
3158,1,
3158,2,
3240,1,
3240,3,
3240,4,
3240,5,
3402,1,
3444,1,
3718,4,
3718,6,
3718,8,
3718,10,
3977,1,
3977,2,
3977,3,
4039,2,
4039,3,
4039,4,
4039,5,
4039,6,
4040,1,
4040,2,
4041,2,
4041,3,
4041,4,
4041,5,
4054,1,
4054,2,
4056,1,
4056,2,
4056,3,
4056,4,
4056,5,
4056,6,
4056,7,
4056,8,
4056,9,
4056,10,
4056,11,
4056,12,
4056,13,
4056,14,
4056,17,
4122,2,
4125,5,
4570,1,
4570,2,
4570,3,
4782,1,46110491
4782,2,46110491
4782,3,46110491
4782,4,46110491
4782,5,46110491
4782,6,46110491
5010,1,
5010,2,
5010,3,
5010,4,
5010,5,
5010,7,
5010,9,
5151,1,
5213,1,64950037147
5213,2,64950037147
5264,4,
5264,6,
5264,7,
5264,8,
5264,9,
5264,10,
5264,13,
5264,14,
5292,1,
5292,2,
5292,3,
5319,1,
5378,2,
5378,3,
5378,4,
5378,5,
5490,2,
5490,3,
5509,1,
5509,3,
5521,1,
5521,2,
5521,4,
5545,3,
5545,4,
5545,5,
5619,1,
5620,1,
5657,1,
5691,2,
5725,1,
5794,1,
5794,2,
5795,1,
5845,1,
5845,4,
5845,7,
5856,2,
5856,5,
5856,9,
5897,4,
5897,8,
5914,2,
5914,4,
5929,1,
5932,12,
5939,1,
5963,1,
5963,2,
5963,3,
5970,4,
5970,5,
6002,1,
6002,2,
6008,1,
6012,3,
6035,3,
6035,4,
6044,3,
6071,3,
6095,1,
6110,5,
6134,2,
6134,4,
6134,10,
6135,3,
6146,1,
6146,2,
6170,3,
6188,1,68084096495
6203,1,
6213,1,
6270,3,
6309,1,
6309,3,
6317,7,
6317,11,
6317,12,
6325,1,
6327,2,
6327,3,
6328,1,
6328,2,
6333,8,
6383,2,
6383,3,
6383,4,
6403,5,
6412,14,
6412,15,
6441,1,
6459,1,
6460,2,
6470,1,
6488,2,
6488,3,
6488,4,
6488,5,
6488,7,
6488,8,
6488,10,
6488,12,
6488,17,
6488,18,
6488,19,
6514,4,
6525,1,
6530,3,
6530,4,
6536,1,
6536,2,
6536,3,
6536,4,
6536,5,
6580,1,
6620,1,
6632,3,
6668,10,
6695,1,
6772,1,
